male,age,education,unemployed,ideology,left2012,left2016,eco_issue,imm_issue,iv_immigration,iv_economy,right2012,right2016
0,61,9,0,10,0,NA,0,0,0.5,1,1,NA
0,75,12,0,3,1,1,1,0,0.5,1,0,0
0,82,14,0,6,NA,NA,0,0,0.5,0.5,NA,NA
1,25,10,0,5,0,0,1,0,0.75,0.5,1,1
0,45,14,0,4,1,1,0,0,0.5,1,0,0
1,74,12,0,5,1,1,0,0,0.5,1,0,0
0,61,10,0,10,0,NA,0,0,0.75,1,1,NA
1,31,13,0,6,NA,NA,0,0,0.5,0,NA,NA
0,62,9,0,NA,1,0,0,0,1,1,0,1
0,82,8,0,8,0,0,0,0,0.75,0.5,1,1
1,20,10,0,3,NA,NA,0,0,0.25,1,NA,NA
0,61,14,0,5,1,0,1,0,0.25,1,0,1
1,47,14,0,5,1,1,1,0,0.5,0.5,0,0
1,54,6,0,5,NA,NA,0,1,1,0.5,NA,NA
0,70,12,0,7,1,0,0,0,0.5,0.5,0,1
0,28,11,0,5,NA,NA,0,0,0.75,0.5,NA,NA
0,49,9,0,10,1,1,0,1,0.5,1,0,0
0,45,9,0,8,NA,0,0,0,0.5,0,NA,1
1,60,10,0,4,1,1,0,0,0.5,1,0,0
1,74,13,0,5,1,0,1,0,0.75,1,0,1
1,33,15,0,4,1,1,1,0,0,0.5,0,0
1,52,9,0,5,1,NA,1,0,1,1,0,NA
1,31,9,0,10,NA,NA,0,0,1,0.5,NA,NA
0,70,5,0,10,NA,NA,0,0,0,1,NA,NA
1,57,10,0,NA,NA,0,0,0,0.75,1,NA,1
0,60,13,0,7,0,0,1,0,1,1,1,1
1,25,9,0,7,NA,NA,0,0,0.25,1,NA,NA
1,74,9,0,8,0,0,0,0,0.5,0.5,1,1
0,42,10,0,5,NA,NA,0,0,0.5,1,NA,NA
1,46,13,0,6,NA,0,0,0,0.5,0.5,NA,1
0,50,14,0,4,1,1,0,0,0.5,1,0,0
1,59,10,0,7,0,0,0,0,0.75,1,1,1
1,56,10,0,8,NA,NA,0,0,0.25,0.5,NA,NA
1,61,8,0,5,0,0,0,0,0.5,1,1,1
0,34,10,0,NA,1,1,0,0,0.5,1,0,0
1,55,9,0,5,NA,NA,0,0,0.75,1,NA,NA
