male,age,education,unemployed,ideology,left2012,left2016,eco_issue,imm_issue,iv_immigration,iv_economy,CC16_301d,CC16_301i,CC16_331_1,CC16_331_2,CC16_331_3,CC16_331_4,CC16_331_5,CC16_331_6,CC16_331_7,CC16_331_8,right2012,right2016
1,57,3,0,6,0,0,1,1,0.875,0,1,2,2,1,2,1,1,2,1,2,1,1
1,42,4,0,2,1,1,1,0,0.75,0.5,4,1,1,1,2,1,1,2,1,2,0,0
1,24,4,0,4,1,NA,1,0,0.125,0.5,5,1,1,2,1,2,2,2,2,2,0,NA
0,49,4,0,5,0,0,1,1,0.75,0,1,1,2,1,2,1,2,2,1,2,1,1
0,60,6,0,4,1,1,1,0,0.25,0.5,3,2,1,1,1,2,2,2,2,2,0,0
0,61,6,0,2,NA,NA,1,1,0.5,0.75,2,1,1,1,2,1,2,2,2,2,NA,NA
0,41,5,0,4,1,1,1,1,0.75,0.25,2,1,2,1,2,1,2,2,1,2,0,0
1,53,6,0,4,1,1,1,0,0.25,0.5,4,2,1,2,2,1,2,1,2,2,0,0
0,33,6,0,4,1,1,0,0,0.25,0.75,3,3,1,1,1,2,2,2,2,2,0,0
0,45,6,0,4,1,1,1,0,0.125,0.75,4,1,1,2,1,2,2,2,2,2,0,0
1,61,6,0,6,NA,NA,1,1,0.5,0.5,2,2,2,2,1,1,2,2,1,2,NA,NA
1,71,4,0,7,0,0,1,0,0.75,0,4,1,2,1,2,1,1,1,1,2,1,1
1,63,5,0,2,1,1,1,0,0,0.25,3,2,1,2,1,2,2,1,2,2,0,0
1,51,6,0,1,1,1,1,1,0.375,1,1,1,2,2,2,2,2,2,2,2,0,0
0,53,4,0,1,1,1,1,1,0.125,1,1,1,1,2,1,1,2,1,2,2,0,0
0,36,6,0,1,1,NA,1,1,0.5,0.75,1,1,2,2,2,2,2,2,1,2,0,NA
0,45,3,0,4,1,1,1,0,0.5,0.5,3,1,1,2,2,1,1,2,2,2,0,0
1,46,4,0,6,NA,0,1,1,1,0.25,1,1,2,1,2,1,1,2,1,1,NA,1
1,61,2,0,4,1,1,1,1,0.875,0.5,2,1,2,1,1,1,1,2,1,1,0,0
0,39,6,0,7,NA,1,1,0,0.375,0.25,3,1,2,2,2,2,2,1,1,2,NA,0
1,41,5,0,4,0,NA,1,1,0.625,0.5,1,1,2,1,2,1,1,1,2,2,1,NA
0,37,3,0,1,1,1,1,1,0.375,0.5,2,2,2,2,2,2,2,2,2,2,0,0
